Function,LG_Code,nbits
Furrion TV On/Off,0x04FB4AB5,32
Furrion TV 1,0x04FB00FF,32
Furrion TV 2,0x04FB08F7,32
Furrion TV 3,0x04FB8877,32
Furrion TV 4,0x04FBC837,32
Furrion TV 5,0x04FB28D7,32
Furrion TV 6,0x04FBA857,32
Furrion TV 7,0x04FBE817,32
Furrion TV 8,0x04FB18E7,32
Furrion TV 9,0x04FB32CD,32
Furrion TV 0,0x04FB38C7,32
Furrion TV PTY,0x04FBD827,32
Furrion TV Cycle,0x04FB32CD,32
Furrion TV Red,0x04FBB847,32
Furrion TV Green,0x04FBF807,32
Furrion TV Yellow,0x04FB629D,32
Furrion TV Blue,0x04FBE01F,32
Furrion TV Info/OSD,0x04FBF00F,32
Furrion TV Auto,0x04FBB04F,32
Furrion TV Menu,0x04FB609F,32
Furrion TV F.List,0x04FB48B7,32
Furrion TV C.List,0x04FB8A75,32
Furrion TV Fav,0x04FB12ED,32
Furrion TV EPG,0x04FBA25D,32
Furrion TV Source,0x04FB02FD,32
Furrion TV Exit,0x04FB50AF,32
Furrion TV OK,0x04FB52AD,32
Furrion TV Left,0x04FB926D,32
Furrion TV Right,0x04FBD22D,32
Furrion TV Up,0x04FBE21D,32
Furrion TV Down,0x04FBB24D,32
Furrion TV Mute,0x04FBCA35,32
Furrion TV Vol Plus,0x04FBC03F,32
Furrion TV Vol Minus,0x04FB827D,32
Furrion TV Channel Plus,0x04FB40BF,32
Furrion TV Channel Minus,0x04FB906F,32
Furrion TV MTS/Audio,0x04FBD02F,32
Furrion TV Sleep,0x04FB728D,32
Furrion TV CC,0x04FB42BD,32
Furrion Stereo On/Off,0x807F40BF,32
Furrion Stereo 1,0x807F807F,32
Furrion Stereo 2,0x807F906F,32
Furrion Stereo 3,0x807F8877,32
Furrion Stereo 4,0x807F9867,32
Furrion Stereo 5,0x807F609F,32
Furrion Stereo 6,0x807F708F,32
Furrion Stereo 7,0x807F6897,32
Furrion Stereo 8,0x807F7887,32
Furrion Stereo 9,0x807F728D,32
Furrion Stereo 0,0x807F6A95,32
Furrion Stereo Info/OSD,0x807FB04F,32
Furrion Stereo OK,0x807F8A75,32
Furrion Stereo Left,0x807F926D,32
Furrion Stereo Right,0x807F9A65,32
Furrion Stereo Up,0x807F4AB5,32
Furrion Stereo Down,0x807FCA35,32
Furrion Stereo Vol Plus,0x807FC23D,32
Furrion Stereo Vol Minus,0x807FC03F,32
Furrion Stereo Play/Pause,0x807FC837,32
Furrion Stereo Mute,0x807FA857,32
Furrion Stereo Previous,0x807FD827,32
Furrion Stereo Next,0x807FDA25,32
Furrion Stereo Stop,0x807FD02F,32
Furrion Stereo Eject,0x807F50AF,32
Furrion Stereo Step,0x807FB847,32
Furrion Stereo APS,0x807FBA45,32
Furrion Stereo AM/FM,0x807F52AD,32
Furrion Stereo DVD/USB,0x807F42BD,32
Furrion Stereo Aux/ARC,0x807F48B7,32
Furrion Stereo AV,0x807F58A7,32
Furrion Stereo Clock,0x807F629D,32
Furrion Stereo Setup,0x807FD22D,32
Furrion Stereo RPT,0x807FEA15,32
Furrion Stereo RDM,0x807FFA05,32
Furrion Stereo A-B,0x807FE01F,32
Furrion Stereo Prog,0x807FA05F,32
Furrion Stereo Zoom,0x807FE21D,32
Furrion Stereo ST/Angle,0x807FB24D,32
Furrion Stereo Title/PBC,0x807FE817,32
Furrion Stereo EQ,0x807FF20D,32
Furrion Stereo Sel,0x807F827D,32
Furrion Stereo LOC/Slow,0x807FA25D,32
Furrion Stereo Search/GOTO,0x807FAA55,32
Furrion Stereo Subt,0x807FF807,32
Fireplace On/Off,0x04FB8C73,32
Fireplace Flames Adj,0x04FB4CB3,32
Fireplace Temp,0x04FBCC33,32
Fireplace Timer,0x04FB2CD3,32
